ARMAS_MEDIOS;DEPARTAMENTO ;MUNICIPIO ;FECHA ;DELITO ;GENERO;*AGRUPA_EDAD_PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUADALUPE;1/01/2018;;FEMENINO;MENORES;5315000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;FEMENINO;ADOLESCENTES;5001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;FEMENINO;ADULTOS;5001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;FEMENINO;MENORES;5001000;1
ARMA BLANCA / CORTOPUNZANTE;ATLÁNTICO;MALAMBO;1/01/2018;;FEMENINO;ADULTOS;8433000;1
ARMA BLANCA / CORTOPUNZANTE;BOLÍVAR;CARTAGENA (CT);1/01/2018;;FEMENINO;MENORES;13001000;1
ARMA BLANCA / CORTOPUNZANTE;BOYACÁ;SAMACÁ;1/01/2018;;MASCULINO;MENORES;15646000;1
ARMA BLANCA / CORTOPUNZANTE;CALDAS;VITERBO;1/01/2018;;FEMENINO;MENORES;17877000;1
ARMA BLANCA / CORTOPUNZANTE;CAQUETÁ;FLORENCIA (CT);1/01/2018;;FEMENINO;ADOLESCENTES;18001000;1
ARMA BLANCA / CORTOPUNZANTE;CAQUETÁ;FLORENCIA (CT);1/01/2018;;FEMENINO;ADULTOS;18001000;3
ARMA BLANCA / CORTOPUNZANTE;CHOCÓ;QUIBDÓ (CT);1/01/2018;;MASCULINO;MENORES;27001000;1
ARMA BLANCA / CORTOPUNZANTE;CUNDINAMARCA;BOGOTÁ D.C. (CT);1/01/2018;;FEMENINO;ADULTOS;11001000;1
ARMA BLANCA / CORTOPUNZANTE;CUNDINAMARCA;GIRARDOT;1/01/2018;;FEMENINO;ADULTOS;25307000;1
ARMA BLANCA / CORTOPUNZANTE;META;CUMARAL;1/01/2018;;FEMENINO;MENORES;50226000;1
ARMA BLANCA / CORTOPUNZANTE;NARIÑO;SAN ANDRES DE TUMACO;1/01/2018;;FEMENINO;ADULTOS;52835000;1
ARMA BLANCA / CORTOPUNZANTE;NORTE DE SANTANDER;CACHIRÁ;1/01/2018;;FEMENINO;ADULTOS;54128000;1
ARMA BLANCA / CORTOPUNZANTE;QUINDÍO;ARMENIA (CT);1/01/2018;;FEMENINO;ADOLESCENTES;63001000;1
