ARMAS MEDIOS;DEPARTAMENTO;MUNICIPIO;FECHA HECHO;DELITO ;GENERO;AGRUPA EDAD PERSONA;CODIGO DANE;CANTIDAD
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);14/04/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);11/09/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;ADOLESCENTES;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);11/09/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;91001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ABEJORRAL;12/03/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05002000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;AMAGÁ;15/08/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05030000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;AMALFI;4/03/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;ADOLESCENTES;05031000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANDES;15/05/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;ADULTOS;05034000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANDES;20/08/2020;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;MASCULINO;MENORES;05034000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANGELÓPOLIS;9/02/2020;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05036000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;1/01/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;16/01/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADOLESCENTES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;16/02/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;19/02/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;20/02/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;1/03/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;17/03/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;MASCULINO;MENORES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;20/03/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;3/04/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;ADOLESCENTES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;3/04/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;25/04/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;26/04/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;ADULTOS;05045000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;12/05/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;28/05/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;1/08/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;18/08/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;23/05/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;25/01/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;1/03/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;29/04/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;ADOLESCENTES;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;7/05/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;21/08/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADOLESCENTES;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;27/08/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;MASCULINO;MENORES;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;8/09/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;28/10/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;24/11/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;16/12/2020;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BURITICÁ;28/01/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;ADOLESCENTES;05113000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;5/02/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;20/03/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;MASCULINO;ADULTOS;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAÑASGORDAS;20/01/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;ADULTOS;05138000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAÑASGORDAS;8/08/2020;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADOLESCENTES;05138000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAÑASGORDAS;25/08/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADOLESCENTES;05138000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CARAMANTA;29/12/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05145000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;14/02/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;ADULTOS;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;20/02/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;26/04/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;MASCULINO;MENORES;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;1/05/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;ADOLESCENTES;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;28/08/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;MASCULINO;ADOLESCENTES;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;12/09/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADOLESCENTES;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;8/10/2020;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;13/02/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;18/02/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;MASCULINO;MENORES;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;20/02/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;ADOLESCENTES;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;29/04/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;MASCULINO;MENORES;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;10/05/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CISNEROS;13/07/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;MASCULINO;ADULTOS;05190000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COCORNÁ;13/01/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;MENORES;05197000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COCORNÁ;1/06/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05197000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CONCORDIA;6/06/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05209000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;DABEIBA;31/03/2020;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05234000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;DABEIBA;2/05/2020;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;MENORES;05234000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;18/02/2020;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;10/03/2020;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;MASCULINO;MENORES;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;18/08/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;MASCULINO;MENORES;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;7/12/2020;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05148000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;28/12/2020;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;FRONTINO;30/10/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05284000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUARNE;11/06/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05318000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUARNE;6/08/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05318000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUARNE;10/08/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05318000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;14/08/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA CEJA;11/07/2020;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05376000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA CEJA;4/10/2020;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05376000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);1/01/2020;ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);1/01/2020;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05001000;1
