ARMAS_MEDIOS;DEPARTAMENTO ;MUNICIPIO ;FECHA ;DELITO ;GENERO;*AGRUPA_EDAD_PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);05/02/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);01/03/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);15/03/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADOLESCENTES;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);31/07/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;PUERTO NARIÑO;11/05/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;91540000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ALEJANDRÍA;13/05/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05021000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;AMAGÁ;03/03/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;MASCULINO;ADOLESCENTES;05030000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;AMAGÁ;31/05/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;MENORES;05030000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANDES;15/05/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05034000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANGOSTURA;10/10/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADOLESCENTES;05038000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANORÍ;09/07/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;MENORES;05040000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;25/02/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADOLESCENTES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;23/03/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;MENORES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;23/01/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;07/02/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADOLESCENTES;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;13/02/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;09/07/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;01/08/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;28/09/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADOLESCENTES;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;20/10/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADOLESCENTES;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;24/10/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADOLESCENTES;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;13/12/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BETANIA;18/03/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;MASCULINO;MENORES;05091000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BETANIA;22/07/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05091000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BETANIA;22/07/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;MENORES;05091000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;03/01/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADOLESCENTES;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;19/01/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;08/10/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADOLESCENTES;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;14/10/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADOLESCENTES;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;04/11/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;MASCULINO;ADULTOS;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;01/01/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;07/03/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;17/06/2022;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;MENORES;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;27/06/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADOLESCENTES;05147000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAROLINA;22/05/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;MASCULINO;ADOLESCENTES;05150000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;24/02/2022;ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS;FEMENINO;ADOLESCENTES;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;10/06/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;04/09/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;03/10/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADOLESCENTES;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;04/12/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;21/09/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CIUDAD BOLÍVAR;03/07/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADOLESCENTES;05101000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CIUDAD BOLÍVAR;10/09/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;MASCULINO;ADOLESCENTES;05101000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CIUDAD BOLÍVAR;15/10/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADOLESCENTES;05101000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CONCORDIA;12/10/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05209000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;07/03/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;01/10/2022;ARTÍCULO 205. ACCESO CARNAL VIOLENTO;FEMENINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;18/10/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;DON MATÍAS;19/10/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05237000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EBÉJICO;02/01/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05240000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL BAGRE;22/05/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADOLESCENTES;05250000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;18/03/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;18/03/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;MENORES;05148000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;23/03/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADOLESCENTES;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;05/09/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;11/10/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;15/11/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL SANTUARIO;11/01/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADULTOS;05697000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL SANTUARIO;21/04/2022;ARTÍCULO 206. ACTO SEXUAL VIOLENTO;FEMENINO;ADOLESCENTES;05697000;1
